Descricao;Preco;;
BOLO DE PASCOA PARATI MINUETO FRUTAS 450G;14,90;2,00;7896011105857
BOLO NUTRELLA BAUNILHA C/GOTAS DE CHOCOLATE 300G;6,20;1,00;7896209400689
BOLO NUTRELLA DE LARANJA 300G;6,20;1,00;7896209400702
PANETTONE ARCOR CHOCOLATE 500G;16,90;2,00;7896058255553
PANETTONE ARCOR FRUTAS 500G;16,90;4,00;7896058255546
TORTINHAS TODDY CHOCOLATE 160G;1,59;8,00;7896071024112
CAFE 3 CORAÇOES REFIL 50G;2,91;47,00;7896005800683
CAFE BOM JESUS TRADICIONAL 500G;9,65;9,00;7896035733326
CAFE C/ LEITE PELE SACHE 100G;4,35;8,00;7892222441487
CAFE C/LEITE 3 CORAÇOES 100G;3,96;23,00;7896005804520
CAFE CABOCLO TRADICIONAL 250G;4,76;6,00;7896089012460
CAFE CABOCLO TRADICIONAL 500G;9,95;39,00;7896089010916
CAFE FRITZ & FRIDA VIDRO E.FORTE 100G;6,69;20,00;7890300128176
CAFE FRITZ & FRIDA VIDRO E.FORTE 200G;10,20;18,00;7890300128190
CAFE IGUAÇU CAPPUCCINO CHOCOLATE PT 200G;7,45;2,00;7896019207294
CAFE IGUAÇU DESCAIFENADO SACHE 50G;7,38;13,00;7896019209441
CAFE IGUAÇU TRADICIONAL LT 200G;11,99;3,00;7896019201117
CAFE IGUAÇU TRADICIONAL LT LV200 PG180G;12,98;21,00;7896019208161
CAFE IGUAÇU TRADICIONAL SACHE REFIL 50G;3,78;59,00;7896019205115
CAFE MELITTA EX.FORTE REFIL 50G;3,35;12,00;7891021008501
CAFE MELITTA SOLUVEL REFIL 50G;3,75;107,00;7891021007429
CAFE MELITTA TRADICIONAL 250G;5,98;29,00;7891021006071
CAFE MELITTA TRADICIONAL 500G;13,28;7,00;7891021006125
CAFE PELE CAPPUCCINO CHOC. SACHE 100G;3,90;10,00;7892222110673
CAFE PELE CAPPUCCINO TRAD SACHE 100G;4,35;11,00;7892222110338
CAFE PELE SACHE C/ZIP 50G;3,25;74,00;7892222500276
CAFE PELE VIDRO SOLUVEL 200G;11,69;6,00;7892222500030
FILTRO CAFE BRIGITA 102;2,65;6,00;7891021002103
FILTRO CAFE BRIGITTA 103;3,10;7,00;7891021002127
FILTRO CAFE DELETAR;2,36;6,00;7891021002066
FILTRO CAFE MELITTA 102;2,95;10,00;7891021001885
FILTRO CAFE MELITTA 103;3,40;17,00;7891021001946
NESCAFE DESCAFEINADO SACHE 50G;6,75;5,00;7891000026403
NESCAFE MATINAL REFIL 50G;3,69;24,00;7891000315200
NESCAFE MATINAL VIDRO  200G;13,99;3,00;7891000315606
NESCAFE ORIGINAL EX FORTE 200G;13,99;6,00;7891000300602
NESCAFE ORIGINAL REFIL 50G;3,69;10,00;7891000306703
NESCAFE TRADICAO REFIL 50G;3,69;48,00;7891000010860
NESCAFE TRADICAO VIDRO 200G;13,99;48,00;7891000304808
CERA CARDEAL PASTA VERMELHA 300G;17,30;2,00;7891035300868
CERA LIQUIDA BRILHO FACIL AMARELA 750ML;9,30;4,00;7896040701129
CERA LIQUIDA BRILHO FACIL VERMELHO 750ML;9,30;3,00;7896040701112
CERA LIQUIDA GIRANDO SOL A.BRILHO AMARELO 750ML;7,95;5,00;7896404605551
LUSTRA MOVEIS DESTAC LAVANDA 200ML;5,35;15,00;7891035516009
NUGGET LIQ MARRON 60ML;8,85;8,00;7891035570100
NUGGET LIQ PRETO 60ML;8,85;11,00;7891035570001
NUGGET LIQ. PRETO 60ML GRATIS 33%;8,10;2,00;7891035570537
NUGGET PASTA MARROM 36G;5,45;6,00;7791130002950
NUGGET PASTA PRETO 36G;5,45;21,00;7791130002554
AVEIA FLOCOS VIDA & SAUDE 1KG;8,90;3,00;207
BARRA CEREAL NATURALE LIGHT AVEIA /CHOC 25G;0,95;75,00;7898055420408
BARRA CEREAL NATURALE LIGHT CAST C/AVEIA 25G(24UN);0,95;66,00;7898055420316
BARRA CEREAL NATURALE LIGHT MOR/AVEIA/CHOC 25G;0,95;92,00;7898055420323
BARRA CEREAL RITTER AVELA /CAST/CHOCOLATE 25G;1,15;14,00;7896104866306
BARRA CEREAL RITTER BRIGADEIRO 22G;1,15;44,00;7896104866351
BARRA CEREAL RITTER CASTANHA DO PARA 22G;1,15;33,00;7896104867150
BARRA CEREAL RITTER F.VERMELHAS/CHOC 25G;1,15;90,00;7896104866009
BARRA CEREAL RITTER LIGHT BROWNIE 25G;1,15;29,00;7896104868553
BARRA CEREAL RITTER MORANGO/CHOCOLATE 25G;1,15;7,00;7896104869369
BARRA CEREAL SUCRILHOS C/CHOCOLATE 20G;1,40;27,00;7896004004228
BARRA CEREAL TRIO BRIGADEIRO LIGHT 20G;0,95;14,00;7897900312578
BARRA DE CEREAL RITTER BRIGADEIRO/AVEIA 20G;1,15;22,00;7896104866214
CASTANHA DE CAJU VIDA E SAUDE;11,96;1,00;7898921864251
CEREAL + FLAKES 270G;5,85;3,00;7898343260013
CHOCOBOLL CEREAL VIDA & SAUDE 150G;3,95;6,00;7898921864626
FLOCOS DE MILHO VIDA & SAUDE C/AÇUCAR 250G;4,48;11,00;7898921864633
FLOCOS DE MILHO VIDA & SAUDE LIGHT 200G;3,95;4,00;7898921864275
FRUTAS CRISTALIZADAS LUAR SUL 150G;1,90;4,00;7897890871710
GRANOLA VIDA & SAUDE DIET 1KG;14,96;16,00;7898921864770
GRANOLA VIDA & SAUDE DIET 300G;4,86;13,00;7898921864565
GRANOLA VIDA & SAUDE TRADICIONAL 1KG;14,96;10,00;7898921864763
GRANOLA VIDA & SAUDE TRADICIONAL 300G;4,89;13,00;7898921864022
CERVEJA GLACIAL LATAO 473ML;1,89;80,00;7896052603589
CERVEJA SCHIN ZERO LONG NEC 355ML;2,49;6,00;7896052605439
CERVEJA SKOL LATAO 473ML;3,49;125,00;7891149201006
CERVEJA SKOL ONE WAY S/CASCO 300ML;1,49;80,00;7891149104468
CHA MADRUGADA BOLDO 10G;3,10;6,00;7896277200129
CHA MADRUGADA CAMOMILA 10G;3,60;21,00;7896277200136
CHA MADRUGADA CARQUEJA 10G;3,60;17,00;7896277200143
CHA MADRUGADA ERVA DOCE 10G;3,80;18,00;7896277200181
CHA MADRUGADA FUNCHO 10G;3,30;19,00;7896277200235
CHA MADRUGADA MAÇA 18G;3,80;1,00;7896277200280
CHA MADRUGADA MAÇA C/CANELA 15G;3,80;5,00;7896277200839
CHA MADRUGADA MARACUJA 10UN;4,05;3,00;7896277200679
CHA MADRUGADA MISTO PUPPY 15G;3,90;7,00;7896277200365
CHA MADRUGADA MORANGO 15G;3,80;9,00;7896277200273
CHA MADRUGADA PRETO 15G;3,10;3,00;7896277200242
CHA MADRUGADA VERDE 15G;3,90;18,00;7896277201232
ARROZ E MAIS SADIA 600G;10,50;3,00;7893000081055
BATATA CONGELADA MC/CAIN TRADICIONAL 400G;4,57;23,00;7797906000700
BATATA CONGELADA RAPIPAP 400G;3,25;8,00;8710679122355
BATATA PALITO PERDIGAO 400G;4,35;32,00;7891515951030
BATATA PALITO SEARA 400G;4,98;117,00;7894904574100
EMPANADO PERDIGAO MINI CHICKEN TRAD 300G;7,40;13,00;7891515850609
EMPANADO PERDIGAO STEAK100G (45);0,90;32,00;7891515474126
HOT POCKET X- BURGUER SADIA 145G (18);4,54;56,00;7893000027701
LASANHA EXCELSIOR BOLONHESA 600G;8,98;10,00;7896610942037
LASANHA SADIA BOLONHESA 600G;11,75;10,00;7891515475703
LASANHA SADIA BOLONHESA 650G;11,75;47,00;7893000439825
LASANHA SADIA CALABRESA 650G;11,75;18,00;7893000038684
LASANHA SADIA FRANGO 650G;11,75;4,00;7893000071025
LASANHA SADIA PRESUNTO E QUEIJO AO SUGO 650G;11,75;4,00;7893000825208
LASANHA SADIA QUATRO QUEIJOS 650G;11,75;3,00;7893000492981
LASANHA SEARA  BOLONHESA 600G;10,90;9,00;7894904082704
LASANHA SEARA QUATRO QUEIJOS 600G;10,90;3,00;7894904082728
PIZZA EXCELSIOR CALABRESA 460G;8,75;14,00;7896610943003
PIZZA SADIA CALABRESA MUSSARELA 460G;9,98;23,00;7893000069817
PIZZA SADIA CALABRESA OU MIX 3 SABORES 460G (12);9,98;74,00;7893000632073
PIZZA SADIA FRANGO 460G;9,98;16,00;7893000672109
PIZZA SADIA LOMBO C/CATUPIRY E MUSSARELA 460G;9,98;8,00;7893000671997
PURE DE BATATAS ANJINOMOTO1KG;26,70;1,00;7891132002504
SMILES CONGELADA MC/CAIN 600G;9,76;11,07;7797906001035
AMPOLA PANTENE 3 MIN 15ML;5,60;13,00;7506195157305
AMPOLA PANTENE 3 MIN 15ML;7,40;3,00;7506195196687
AMPOLA PANTENE 3 MIN GOLD 15ML;5,50;3,00;7506195196694
AMPOLA PANTENE CAUTERIZAÇAO 3 MIN 15ML;6,55;2,00;7506309889382
COND MONANGE HIDRAT.INTENSIVA 350ML;5,98;6,00;7896094906495
COND MONANGE RECONSTRUTOR 350ML;5,98;1,00;7896094999060
CR CAPILAR HEDERA BABOSA 960G;5,99;10,00;7898556120333
CR CAPILAR HEDERA COQ.DE FRUTAS 960G;5,99;2,00;7898556121194
CR CAPILAR HEDERA OLEO ARGAN 960G;5,99;5,00;7898556120678
KIT PATATI PATATA SH+COND. CACHEADO 250ML CD;19,60;1,00;7896115702969
ABACAXI FRITZ & FRIDA RODELAS 800G;8,80;12,00;7890300055557
ATUM COQUEIRO MOLHO STROGONOFF /ATUM 170G;6,75;5,00;7894321823195
ATUM COQUEIRO RALADO C/MOLHO DE TOMATE 160G;5,40;12,00;7894321822129
ATUM COQUEIRO RALADO C/OLEO 170G;4,98;8,00;7894321822020
ATUM GOMES DA COSTA RALADO AO MOLHO DE TOMATE 130G;4,36;3,00;7891167011953
ATUM GOMES DA COSTA RALADO AO NATURAL 130G;4,36;2,00;7891167011779
ATUM GOMES DA COSTA RALADO EM OLEO 130G;4,36;4,00;7891167011748
AZEITONA BOM PRINCIPIO SACHE C/CAROÇO 150G;4,29;19,00;7897500603335
AZEITONA BOM PRINCIPIO SACHE S/CAROÇO 120G;4,47;6,00;7897500603342
AZEITONA LA VIOLETERA C/CAROÇO 100G;2,80;3,00;7891089100346
AZEITONA QUERO INTEIRA SACHE 100G;3,95;5,00;7896102504996
AZEITONA VERDE ZAELI 200G;4,45;4,00;7896183901738
CHAMPIGNON BOM PINCIPIO INTEIRO 100G;6,25;7,00;7897500603373
CHAMPIGNON FUGINI INTEIRO 170G;6,20;1,00;7897517208257
CHAMPIGNON VAL SACHE 170G;5,90;1,00;7898045701524
CONSERVA NEUMANN ABACAXI LT 820G;7,61;5,00;7896040902014
DUETO JUSSARA 200G;1,49;16,00;7896387010243
ERVILHA E MILHO QUERO CONSERVA TP 200G;2,60;35,00;7896102517132
ERVILHA FUGINI SACHE 300G;1,95;39,00;7897517209056
ERVILHA QUERO 200G;2,10;24,00;7896102517118
ERVILHA STELLA  DORO LT 200G;1,45;13,00;7898930141039
FIGO FRITZ & FRIDA LT 900G;8,95;8,00;7890300155578
KETCHUP QUERO TRDICIONAL 400G;4,06;12,00;7896102502756
MILHO GOIAS VERDE LT 200G;1,55;6,00;7898905153258
MILHO QUERO CONSERVA TP 200G;2,35;34,00;7896102517125
MILHO STELLA DORO LT 200G;1,45;7,00;7898930141015
MILHO VERDE JUSSARA LT 200G;1,49;9,00;7896387000183
PALMITO DO VALE PICADO 530G;7,99;11,00;7891031110188
PALMITO GUARA INTEIRO 530G;17,39;4,00;7897061320412
PEPINO EM CONSERVA TAUA 300G;7,33;56,00;7891031112403
PESSEGO FRITZ & FRIDA METADE C/CALDA 450G;8,80;129,00;7890300120743
SALSICHA VIENA ODERICH 280G;3,28;1,00;7896041110012
SARDINHA COQUEIRO MOLHO DE TOMATE 125G;3,55;56,00;7894321811789
SARDINHA COQUEIRO OLEO DE SOJA 125G;3,55;42,00;7894321811758
SARDINHA COQUEIRO OLEO LIMAO 125G;3,45;5,00;7896009500152
SARDINHA COQUEIRO PIMENTA /COENTRO 125G;3,45;2,00;7896009500169
SARDINHA GOMES DA COSTA MOLHO DE TOMATE 84G;3,19;24,00;7891167021020
SARDINHA GOMES DA COSTA OLEO COMESTIVEL 84G;3,19;8,00;7891167021013
SARDINHA PESCADOR MOLHO TOMATE 83G;3,15;15,00;7896114900045
SARDINHA PESCADOR OLEO COMESTIVEL 83G;3,10;15,00;7896114900014
SELETA DE LEGUMES ODERICH 200G;2,42;3,00;7898905153012
ALGODAO CREMER CX 25G;1,90;9,00;7891800002812
ALGODAO CX ISA BABY 25G;1,97;30,00;7898947389981
ALGODAO CX TOPZ 25G;1,65;20,00;7896004811567
ANTI RUGA NIVEA OLHOS Q10 PLUS ROLL-ON 10ML;52,85;1,00;4005808070015
CORPO A CORPO DAVENE NATURAL 200ML;5,29;1,00;7898085944677
CR CAPILAR HEDERA LISS PERFEITO 960G;5,99;2,00;7898556121217
CR CAPILAR KANECHOM FRUTAS 1KG;7,20;7,00;7893694065669
CR HEDERA ALFACE MAOS E ROSTO 30G;3,96;7,00;7898556122658
CR HEDERA FACIAL 120G;8,20;4,00;7898556121880
CR HEDERA MAOS E ROSTO DE AVEIA 30G;3,96;5,00;7898556122641
CR HEDERA MAOS/ PES 120G;6,98;4,00;7898556121910
CR PENTEAR PANTENE RESTAURAÇAO 240G;15,45;1,00;7506309866901
DESOD AERO OXYCLEAR FEM ENERGY 175ML;10,48;5,00;7898173120075
GEL BELEZA DA AMAZONIA VERDE 235G;2,25;2,00;7898924549285
GEL HEDERA BRILHO MOLHADO E.FLOR 240G;3,99;10,00;7898556121071
GEL HEDERA BRILHO MOLHADO ERVA 240G;3,99;7,00;7898556121095
GEL HEDERA FIXADOR ALOE VERA 240G;3,99;18,00;7898556121088
GRAMPO SANTA CLARA DELETAR PRETO N5;5,60;1,00;7897214700658
GRAMPO SANTA CLARA LOIRO N5;5,99;4,00;7897169201217
GRAMPO SANTA CLARA PRETO N5;5,99;2,00;7897169201224
HIDRATANTE MONANGE EXT.DE OLIVA 200ML;6,98;4,00;7896094907263
HIDRATANTE PAIXAO SEDUTORA 200ML;6,30;5,00;78907867
KARINA HAIR SPRAY NORMAL 250ML;16,98;5,00;7893300521022
LENÇOS NIVEA DEMAQUILANTES 25UN;27,65;1,00;4005808811212
LOÇAO HIDRATANTE HEDERA AVEIA 370G;8,20;3,00;7898556121569
NIVEA LEITE LIMPEZA+TONICO 200ML;29,00;2,00;4005808569878
OLEO BICHO SEDA CASULAO 30ML;9,95;4,00;7897626501249
PROTETOR & BRONZE NIVEA SUN FPS15 125ML;26,65;2,00;4005808555376
PROTETOR & BRONZE NIVEA SUN FPS30 125ML;32,90;3,00;4005808555383
PROTETOR FACIAL NIVEA SUN FPS30  50G;39,85;1,00;4005808239573
PROTETOR NIVEA SUN FPS15 125ML;26,65;1,00;4005808555314
PROTETOR NIVEA SUN FPS30 125ML;33,95;3,00;4005808555321
PROTETOR NIVEA SUN FPS50 125ML;39,98;3,00;4005808555352
REMOVEDOR DE ESMALTE FARMAX 100ML;2,95;29,00;7896902209114
REMOVEDOR DE ESMALTES LELLY BEAUTY (NAO COMPRAR);2,86;4,00;7898207538869
SPECTRABAN PROT.SOLAR BEGE CLARO FPS35 60G;66,12;2,00;7896251802424
TENYS PE BARUEL CANFORADO AERO 150ML;14,40;2,00;7896020160168
TENYS PE BARUEL ORIGINAL AERO 150ML;14,40;5,00;7896020160151
TENYS PE BARUEL ORIGINAL PO 100G;7,40;11,00;7896020160052
ANTI-SEPTICO BUCAL ORAL B HORTELA 500ML;12,90;1,00;7506195129104
ANTI-SEPTICO BUCAL ORAL B MENTA 500ML;12,90;1,00;7506195129111
ANTISSEPTICO BUCAL ORAL-B 3D WHITE 250ML;9,99;7,00;7506339309881
CR DENTAL CLOSE UP TRIPLE HORTELA 90G;2,59;35,00;7891037009820
CR DENTAL CLOSE UP TRIPLE MENTA 90G;2,59;38,00;7891037009844
CR DENTAL CLOSE UP TRIPLE MENTA AMERICANA 90G;2,59;22,00;7891037013520
CR DENTAL COLGATE LUMINOUS WHITE 90G;5,95;13,00;7891024123027
CR DENTAL COLGATE MPA 90G;2,98;13,00;7891024134702
CR DENTAL COLGATE MPA T.FAMILIA 180G;4,75;4,00;7891024134610
CR DENTAL COLGATE T.AÇAO M.ORIGINAL 90G;2,68;2,00;7891024132005
CR DENTAL COLGATE TOTAL 12 C.MINT 90G;6,37;11,00;7793100111143
CR DENTAL COLGATE TOTAL 12H C.MINT 2X 90G;10,98;6,00;7891024031865
CR DENTAL COLGATE TOTAL FRESH 12H;6,50;4,00;7891024135310
CR DENTAL COLGATE TRIPLA AÇAO MENTA 90G;2,70;3,00;7891024132104
CR DENTAL COLGATE WHITENING TOTAL 12H 90G;6,37;22,00;7891024135020
CR DENTAL CONDOR HOTWHEELS C/FLUOR MORANGO 50G;4,45;1,00;7891055538111
CR DENTAL CONDOR LILICA BABY S/FLUOR MORANGO 50G;4,45;3,00;7891055538418
CR DENTAL CONDOR LILICA RIP MORANGO C/FLUOR 50G;4,45;3,00;7891055538012
CR DENTAL CONDOR TIGOR BABY S/FLUOR MORANGO 50G;4,45;3,00;7891055538517
CR DENTAL DENTIL CALCIO XILITOL 90G;1,30;4,00;7896246000330
CR DENTAL ORAL B 123 MENTA 90G;2,28;8,00;7501006710410
CR DENTAL ORAL B 3D WHITE;4,98;74,00;7506295388487
CR DENTAL ORAL B COMPLETE 70G;2,99;13,00;7506195131640
CR DENTAL ORAL B PRO SAUDE ANTI AÇUCAR 70G;3,59;8,00;7506195132043
CR DENTAL SORRISO 90G;2,45;16,00;7891528030142
CR DENTAL SORRISO TRIPLA VITAMINA 70G;2,70;20,00;7891528029504
CR DENTAL SORRISO XTREME WHITE 4D 90G;3,49;5,00;7891528040059
CR DENTAL TRALALA KIDS TUTTI FRUTTI 50G;4,20;2,00;7896115701795
KIT ORAL-B CR DENTAL 3D WHITE LEVE 3 PG 2;8,95;19,00;7506339398236
CR DESOD HEDERA FEM  55G;4,15;9,00;7898207530429
CR DESOD HEDERA MUSK 55G;4,15;2,00;7898556122351
CR HEDERA MAOS & UNHAS 120G;6,98;3,00;7898556121897
DESOD AERO GARNIER BI-O FEM PROT.5 150ML;12,50;1,00;7899026483422
DESOD AERO OLD SPICE MATADOR MASC 150ML;12,85;1,00;7506339315950
DESOD AERO OLD SPICE P.SPORT MASC 150ML;12,85;7,00;7506309872490
DESOD AERO OLD SPICE VIP MASC 150ML;12,85;1,00;7506309872513
DESOD AERO OXYCLEAR FEM COTTON 150ML;10,48;6,00;7898173120099
DESOD AERO OXYCLEAR FEM SENSITIVE 175ML;10,48;1,00;7898173120051
DESOD AERO OXYCLEAR FEM SENSUAL 175ML;10,48;8,00;7898173120082
DESOD AERO OXYCLEAR MASC COBALT 175ML;10,48;6,00;7897087990064
DESOD AERO OXYCLEAR MASC POWDER 175ML;10,48;5,00;7897087990033
DESOD ROLL-ON SUAVE LAVANDA/ERVA DOCE 50ML;5,60;2,00;75054441
DESOD. ROLL-ON BI-O INVESIBLE 50ML;8,55;1,00;7898587778541
DESOD. ROLL-ON GILLETTE COOL WAVE 50ML;6,60;1,00;7702018000890
DESOD. ROLL-ON GILLETTE POWER RUSH 50ML;6,60;7,00;7702018000906
DESOD. ROLL-ON GILLETTE SENSITIVE 50ML;6,60;4,00;7506309829883
DESOD. ROLL-ON HEDERA CRYSTAL 55ML;5,65;4,00;7898207530535
DESOD. ROLL-ON HEDERA FEMININO 55ML;5,65;3,00;7898207530511
DESOD. ROLL-ON HEDERA MASC 55ML;5,65;3,00;7898207530566
DESOD. ROLL-ON HEDERA MASC EX COOL 55G;5,65;7,00;7898556123266
DESOD. ROLL-ON HEDERA NUTRITIVE 55G;5,65;20,00;7898556123211
DESOD. ROLL-ON HEDERA V.TURBO 55ML;5,65;7,00;7898556121590
REMOVEDOR DE ESMALTES HEDERA 100ML;3,40;86,00;7898556121705
TENYS SEC PE 100G;5,10;1,00;7896049540019
ABRIDOR DE GARRAFA GREMIO FORMATO TAMPA;12,57;1,00;4894290228895
ABRIDOR DE GARRAFA INTER FORMATO TAMPA;12,57;2,00;4894290219152
ACENDEDOR DE FOGO DA ILHA 480G;5,80;5,00;7896017200495
AGULHA COSTURA MAO 12UN;2,55;9,00;7891020424630
AGULHA MAO C/20UN;0,50;20,00;7891020008984
AGULHEIRO CESTA C/12UN;1,50;18,00;7000100001504
ALGODAO CX YORK 25G;1,97;47,00;7891088006120
ALGODAO EM DISCOS YORK 50UN;6,85;11,00;7891088007714
ANZOL N.12 C/10 A381;2,75;3,00;7893006001859
ANZOL N.4 C/10 A383A;2,75;2,00;7893006001897
ASSADEIRA MARINEX ORIGINAL OVAL 3,21L;36,40;5,00;049932666243
ASSADEIRA MARINEX OVAL PEQUENA 2,401L;26,60;6,00;049932634549
ASSADEIRA MARINEX OVAL PQ C/TPA PLASTICA 2,401L;41,60;6,00;049932634525
ASSADEIRA MARINEX PREDILETTA RED C/ALÇA C/649641;24,90;5,00;049932649642
ASSADEIRA MARINEX QUADRADA PREDILETTA 3,80L;36,40;6,00;7894993129502
ASSADEIRA MARINEX RETANGULAR C/TAMPA 2,2L C/653425;41,40;6,00;049932653489
ASSADEIRA MARINEX RETANGULAR FUNDA 5,25L;42,00;5,00;049932653847
BACIA RISCHIOTO REF 9020 9L;9,00;8,00;7898121651040
BACIA RISCHIOTO REF 9021 14L;8,45;3,00;7898121651057
BACIA RISCHIOTO REF 9022 28L;14,85;3,00;7898121653686
BACIA RISCHIOTO REF.:9019 5,2L;6,60;2,00;7898121652610
BALDE ARQPLAST REF BF.10 10L;5,20;1,00;7898280070065
BALDE ARQPLAST REF BF.20 20L;10,75;1,00;7898280070621
BALDE GIPLAS PLASTICO 14L;13,45;1,00;7897291813142
BANDEJA ISOPOR FR-03 18X24CM BRANCA C/400UN;60,90;1,00;417
BARALHO COPAG DUNGA C/55UN;7,50;4,00;7896008935139
BARALHO COPAG PINGUIM C/2;19,31;2,00;7896008305017
BOBINA DE CALCULADORA LAOBAN 57X30 UN;1,35;30,00;7892057130303
BOBINA PLAST MICRO PERFURADA 5L 28X42;18,06;17,65;409
BOBINA PLAST PADARIA MB 2.8 2L 21X32;19,46;2,00;410
BOBINA PLAST PADARIA MB 2.8 3L 23,5X36;20,45;1,00;411
BOBINA PLAST PADARIA MB 2.8 5L 28X42;26,93;2,00;412
BOIA INTEX  C/CABEÇA ZOO G UN;17,50;1,00;078257582211
BOIA INTEX AQUARIO 5831;19,05;1,00;078257580316
BOIA INTEX PNEU C.5925;17,50;1,00;078257592524
BORRACHA P/PANELA DE PRESSAO A2023;2,05;5,00;7893006008995
BUCHA VEGETAL QUALY SABONETEIRA;5,60;2,00;7898178361176
CADERNETA CREDEAL TOME NOTA ESP 48F;1,75;5,00;7891253215050
CANECA ACRILICA GREMIO 600ML C 5524;9,80;1,00;7898572952222
CANECA ACRILICO INTER 600ML C 5525;9,80;1,00;7898572952239
CANECA CERAMICA AMO VOCE CORAÇAO (7315);22,40;1,00;7898572953861
CANECA CERAMICA DE CURSO  C 6023;18,20;3,00;7898572959979
CANECA CERAMICA DO GREMIO AZUL C 5537;20,98;1,00;7898572953946
CANECA CERAMICA DO INTER C 5538;19,60;1,00;7898572953953
CANECA CERAMICA LOVE C 7316;18,20;1,00;7898572953854
CANECA CERAMICA LOVE PARIS C 7316;18,20;1,00;7898572953885
CANECA CERAMICA MAE MAIS ESPECIAL DO MUNDO C 7663;18,20;1,00;7898572959795
CANECA CERAMICA SIG DO AMOR C 7312;18,20;1,00;7898572953892
CANECA CERAMICA SUPER AMIGA C 7320;18,20;1,00;7898572953816
CANECA CERAMICA SUPER MADRINHA C 7318;18,20;1,00;7898572953830
CANECA CERAMICA VOCE ME FAZ FELIZ  C 7314;18,20;2,00;7898572953878
CANECA GEL CERVEJA FOSSE COMBUSTIVEL;34,80;1,00;7899790203776
CANECA GEL DINHEIRO NAO COMPRA FELICIDADE 300ML;34,80;1,00;7899790203769
CANECA GEL GREMIO 300ML C 7690;18,20;1,00;7898572959252
CANECA GEL INTER 300ML C 7691;18,20;1,00;7898572959269
CANECA GEL NUNCA FIZ AMIGOS BEBENDO LEITE 300ML;34,80;1,00;7899790203783
CANECA GEL RELEVO GREMIO G;29,95;1,00;7898572959474
CANECA GEL RELEVO INTER G C 7707;29,95;1,00;7898572959481
CANECA GREMIO GEL 450ML (5443);21,97;2,00;7898572950235
CANECA PLASTICO DETALHADA INTER C/ALÇA C QH021A-13;27,97;1,00;4894290204424
CANECA PLASTICO GREMIO C/ALÇA C QH015-14;27,97;1,00;4895138789288
CANECA PORCELANA AMIGA CORUJA (8926);17,40;1,00;7899790204155
CANECA PORCELANA CASAL PERFEITO (8928);17,40;1,00;7899790204179
CANECA PORCELANA FLORAL MAE EU AMO VOCE (3910);18,80;2,00;7899790210910
CANECA PORCELANA NOSSO AMOR TEM MIL CARAS;17,40;1,00;7899790206364
CANECA PORCELANA PREMIUM MAE EU TE AMO (3914);18,80;4,00;7899790210958
CANECA VIDRO BOMDIMAIS 340ML (3763);27,50;2,00;7899790209204
CANECA VIDRO HAIDEKEN (3766);27,50;1,00;7899790208900
CANECA VIDRO TABERNA BOHBEIRA (3768);27,50;3,00;7899790208924
CANETA BIC AZUL;1,00;229,00;09
CANUDINHO REGINA BRANCO C/80UN;1,98;6,00;7891175232487
CANUDO PLASTICO VITAMINA C/400UN;3,65;1,00;7898994094227
CHURRASQUEIRA MOR ARAGUAIA;75,65;1,00;7896020630074
COFRE CASAL BARQUINHO;28,97;1,00;7860720140683
COLA P/CANO HERC (COD.) 17G;3,78;26,00;7893006000753
COLHER PLASTICO STRAWPLAST C/50UN;6,98;6,00;7898202616036
CONJ COPO CISPER VINHO TINTO BISTRO 260ML C/6UN;42,85;6,00;7891017001837
CONJ COPO FLORIDA REF TW39223  310ML C/6UN;15,40;10,00;7891017002322
CONJ COPO LIVERPOOL TULIPA 310ML C/6UN;33,90;5,00;7891017018712
CONJ SOMMELIER CISPER 5 PEÇAS;54,50;6,00;7891017023266
CONJ.SOBREMESA MADEFFER INOX C/12 PEÇAS;13,90;3,00;7898901926924
CONJUNTO COPO BELLIZE AZUL 450ML 6UN;36,50;9,00;7891017015858
CONJUNTO COPO CERVEJA MUNDIAL 300ML C/6UN;12,40;4,00;7891017009383
CONJUNTO COPO LIVERPOOL MAR 300ML;33,46;5,00;7891017004425
CONJUNTO COPOS DOSE FRASES C/4UN (3594);28,97;2,00;7899790207996
CONJUNTO COPOS FELICIDADES AO CASAL (3482);31,87;1,00;7899790205725
CONJUNTO COPOS METADE DE MIM / VOCE (8918);31,87;1,00;7899790204124
CONJUNTO DE COPOS BRASILIS REF 497/2 C/6UN;14,90;2,00;7898007754971
CONJUNTO KIT CAIPIRINHA RECEITA (3776);18,80;2,00;7899790209006
CONJUNTO TAÇA HANNOVER 300ML C/6UN;33,50;7,00;7891017003114
COPO APERITIVO FRASES COD 7791;10,50;1,00;7898500810662
COPO BELLIZE CRISTAL LONG DRINK 450ML;5,60;10,00;7891017015148
COPO BELLIZE GRAY ROCKS 345ML;5,55;5,00;7891017015391
COPO BELLIZE LILAS LONG DRINK 450ML;5,60;12,00;7891017019047
COPO C/CANUDO VAQUINHA (3735);24,60;1,00;7899790208375
COPO CANINHA BRISTOL MINI C 7792;10,50;2,00;7898500811553
COPO CERVEJA PILSENER 200ML R22830;3,35;24,00;7891017002049
COPO CERVEJA PILSENER 300ML;4,35;51,00;7891017000106
COPO CISPER HANNOVER CERVEJA 300ML;5,59;20,00;7891017001868
COPO COCA COLA BLUE 473ML;6,99;12,00;7891017014301
COPO COCA COLA LILAS 500ML;6,20;10,00;7891017019320
